url,main language,stars,owner,project,branch
https://github.com/caddyserver/caddy,Go,54.3k,caddyserver,caddy,master
https://github.com/prometheus/prometheus,Go,53.1k,prometheus,prometheus,main
https://github.com/nektos/act,Go,50.8k,nektos,act,master
https://github.com/traefik/traefik,Go,48.3,traefik,traefik,master
https://github.com/etcd-io/etcd,Go,46.5k,etcd-io,etcd,main
https://github.com/ethereum/go-ethereum,Go,46.3k,ethereum,go-ethereum,master
https://github.com/jesseduffield/lazygit,Go,46.2k,jesseduffield,lazygit,master
https://github.com/FiloSottile/mkcert,Go,46k,FiloSottile,mkcert,master
https://github.com/v2ray/v2ray-core,Go,44.8k,v2ray,v2ray-core,master
https://github.com/minio/minio,Go,44.5k,minio,minio,master
https://github.com/gogs/gogs,Go,44.3k,gogs,gogs,main
https://github.com/rclone/rclone,Go,44.1k,rclone,rclone,master
https://github.com/wagoodman/dive,Go,43.9k,wagoodman,dive,main
https://github.com/go-gitea/gitea,Go,42.3k,go-gitea,gitea,main
https://github.com/hashicorp/terraform,Go,41.3k,hashicorp,terraform,main
https://github.com/evanw/esbuild,Go,37.4,evanw,esbuild,main
https://github.com/pingcap/tidb,Go,36.3k,pingcap,tidb,master
https://github.com/spf13/cobra,Go,36.2k,spf13,cobra,main
https://github.com/go-gorm/gorm,Go,35.6k,go-gorm,gorm,master
https://github.com/cli/cli,Go,35.6k,cli,cli,trunk
https://github.com/istio/istio,Go,35.1k,istio,istio,master
https://github.com/spring-projects/spring-boot,Java,73.1k,spring-projects,spring-boot,main
https://github.com/elastic/elasticsearch,Java,68.1k,elastic,elasticsearch,main
https://github.com/spring-projects/spring-framework,Java,55.3k,spring-projects,spring-framework,main
https://github.com/google/guava,Java,49.5k,google,guava,master
https://github.com/NationalSecurityAgency/ghidra,Java,48.1k,NationalSecurityAgency,ghidra,master
https://github.com/ReactiveX/RxJava,Java,47.7k,ReactiveX,RxJava,3.x
https://github.com/apache/dubbo,Java,40.1k,apache,dubbo,3.3
https://github.com/jeecgboot/JeecgBoot,Java,38k,jeecgboot,JeecgBoot,master
https://github.com/dbeaver/dbeaver,Java,37.7k,dbeaver,dbeaver,devel
https://github.com/PhilJay/MPAndroidChart,Java,37.3k,PhilJay,MPAndroidChart,master
https://github.com/alibaba/arthas,Java,34.8k,alibaba,arthas,master
https://github.com/airbnb/lottie-android,Java,34.7k,airbnb,lottie-android,master
https://github.com/bumptech/glide,Java,34.4k,bumptech,glide,master
https://github.com/netty/netty,Java,32.9k,netty,netty,4.1
https://github.com/zxing/zxing,Java,32.3k,zxing,zxing,master
https://github.com/termux/termux-app,Java,31.5k,termux,termux-app,master
https://github.com/alibaba/easyexcel,Java,31.1k,alibaba,easyexcel,master
https://github.com/SeleniumHQ/selenium,Java,29.4k,SeleniumHQ,selenium,trunk
https://github.com/alibaba/nacos,Java,29.2k,alibaba,nacos,develop
https://github.com/TeamNewPipe/NewPipe,Java,28.9k,TeamNewPipe,NewPipe,dev
https://github.com/apolloconfig/apollo,Java,28.8k,apolloconfig,apollo,master
https://github.com/alibaba/druid,Java,27.7k,alibaba,druid,master
https://github.com/apache/kafka,Java,27.5k,apache,kafka,trunk
https://github.com/alibaba/spring-cloud-alibaba,Java,27.4k,alibaba,spring-cloud-alibaba,2023.x
https://github.com/lenve/vhr,Java,27k,lenve,vhr,master
https://github.com/Stirling-Tools/Stirling-PDF,Java,27k,Stirling-Tools,Stirling-PDF,main
https://github.com/xuxueli/xxl-job,Java,26.7k,xuxueli,xxl-job,master
https://github.com/qiurunze123/miaosha,Java,26.1k,qiurunze123,miaosha,master
https://github.com/alibaba/fastjson,Java,25.6k,alibaba,fastjson,master
https://github.com/signalapp/Signal-Android,Java,25k,signalapp,Signal-Android,main
https://github.com/facebook/react,JavaScript,223k,facebook,react,main
https://github.com/twbs/bootstrap,JavaScript,168k,twbs,bootstrap,main
https://github.com/Significant-Gravitas/AutoGPT,JavaScript,162k,Significant-Gravitas,AutoGPT,master
https://github.com/vercel/next.js,JavaScript,121k,vercel,next.js,canary
https://github.com/nodejs/node,JavaScript,104k,nodejs,node,main
https://github.com/axios/axios,JavaScript,104k,axios,axios,v1.x
https://github.com/react/create-react-app,JavaScript,102k,react,create-react-app,main
https://github.com/mrdoob/three.js,JavaScript,99.4k,mrdoob,three.js,dev
https://github.com/sveltejs/svelte,JavaScript,76.8k,sveltejs,svelte,main
https://github.com/mermaid-js/mermaid,JavaScript,67.6k,mermaid-js,mermaid,develop
https://github.com/hakimel/reveal.js,JavaScript,67k,hakimel,reveal.js,master
https://github.com/anuraghazra/github-readme-stats,JavaScript,65.4k,anuraghazra,github-readme-stats,master
https://github.com/webpack/webpack,JavaScript,64.2k,webpack,webpack,main
https://github.com/chartjs/Chart.js,JavaScript,63.6k,chartjs,Chart.js,master
https://github.com/resume/resume.github.com,JavaScript,61.5k,resume,resume.github.com,master
https://github.com/atom/atom,JavaScript,60k,atom,atom,master
https://github.com/lodash/lodash,JavaScript,59k,lodash,lodash,main
https://github.com/jquery/jquery,JavaScript,58.9k,jquery,jquery,main
https://github.com/angular/angular.js,JavaScript,58.9k,angular,angular.js,master
https://github.com/gatsbyjs/gatsby,JavaScript,55.1k,gatsbyjs,gatsby,master
https://github.com/Semantic-Org/Semantic-UI,JavaScript,51k,Semantic-Org,Semantic-UI,master
https://github.com/louislam/uptime-kuma,JavaScript,50.5k,louislam,uptime-kuma,master
https://github.com/juliangarnier/anime,JavaScript,48.8k,juliangarnier,anime,master
https://github.com/prettier/prettier,JavaScript,48.4k,prettier,prettier,main
https://github.com/moment/moment,JavaScript,47.8k,moment,moment,develop
https://github.com/jgraph/drawio-desktop,JavaScript,47.1k,jgraph,drawio-desktop,dev
https://github.com/mozilla/pdf.js,JavaScript,46.5k,mozilla,pdf.js,master
